machine_id,timestamp,temperature,vibration,pressure,rpm,motor_current
1,2026-08-15 13:49:51.905529,68.02,3.01,5.35,3439.67,12.8
1,2026-08-15 13:50:51.905529,68.42,3.06,4.67,3401.37,13.98
1,2026-08-15 13:51:51.905529,68.09,4.32,4.91,3418.64,12.95
1,2026-08-15 13:52:51.905529,68.51,3.73,5.24,3500.3,14.03
1,2026-08-15 13:53:51.905529,68.99,3.82,4.79,3475.46,14.28
1,2026-08-15 13:54:51.905529,68.72,3.62,4.88,3550.0,14.27
1,2026-08-15 13:55:51.905529,70.51,3.86,4.9,3473.27,13.9
1,2026-08-15 13:56:51.905529,69.9,4.98,5.53,3550.0,14.37
1,2026-08-15 13:57:51.905529,67.87,3.25,5.79,3548.74,14.34
1,2026-08-15 13:58:51.905529,71.27,4.58,4.48,3458.93,13.64
1,2026-08-15 13:59:51.905529,68.79,4.81,5.32,3307.01,14.59
1,2026-08-15 14:00:51.905529,71.61,4.8,5.06,3476.24,14.14
1,2026-08-15 14:01:51.905529,70.08,3.6,5.16,3307.74,12.15
1,2026-08-15 14:02:51.905529,69.43,5.45,5.47,3426.12,15.38
1,2026-08-15 14:03:51.905529,71.51,4.77,4.94,3376.47,15.71
1,2026-08-15 14:04:51.905529,69.27,5.08,5.07,3439.82,16.07
1,2026-08-15 14:05:51.905529,69.08,5.4,4.89,3425.33,13.6
1,2026-08-15 14:06:51.905529,71.65,5.86,5.43,3348.38,14.5
1,2026-08-15 14:07:51.905529,71.53,5.38,5.18,3503.1,13.99
1,2026-08-15 14:08:51.905529,71.33,5.41,4.78,3300.25,16.7
1,2026-08-15 14:09:51.905529,73.02,5.6,5.55,3507.69,15.32
1,2026-08-15 14:10:51.905529,71.87,4.5,5.31,3377.38,15.13
1,2026-08-15 14:11:51.905529,72.85,5.08,4.49,3181.87,16.39
1,2026-08-15 14:12:51.905529,74.0,5.1,5.16,3426.41,15.58
1,2026-08-15 14:13:51.905529,70.89,5.25,4.66,3367.47,17.9
1,2026-08-15 14:14:51.905529,72.92,5.82,5.17,3236.25,16.8
1,2026-08-15 14:15:51.905529,72.81,4.79,4.9,3307.82,15.67
1,2026-08-15 14:16:51.905529,72.93,7.17,4.96,3320.27,15.61
1,2026-08-15 14:17:51.905529,73.14,5.97,5.09,3161.28,16.08
1,2026-08-15 14:18:51.905529,76.51,6.49,4.84,3340.77,16.0
1,2026-08-15 14:19:51.905529,73.6,7.85,5.91,3369.69,18.12
1,2026-08-15 14:20:51.905529,76.01,7.08,5.89,3352.82,16.1
1,2026-08-15 14:21:51.905529,75.77,7.1,5.03,3316.51,16.9
1,2026-08-15 14:22:51.905529,76.71,7.1,4.48,3317.82,15.92
1,2026-08-15 14:23:51.905529,75.98,8.42,5.21,3364.38,16.33
1,2026-08-15 14:24:51.905529,75.18,7.67,5.5,3290.91,16.77
1,2026-08-15 14:25:51.905529,73.98,7.17,4.51,3304.47,16.36
1,2026-08-15 14:26:51.905529,77.34,7.24,5.08,3254.11,17.33
1,2026-08-15 14:27:51.905529,76.14,9.08,3.8,3229.49,18.65
1,2026-08-15 14:28:51.905529,72.54,7.49,4.69,3422.26,17.27
1,2026-08-15 14:29:51.905529,74.95,8.23,5.81,3185.46,16.63
1,2026-08-15 14:30:51.905529,77.81,6.88,5.0,3393.55,19.88
1,2026-08-15 14:31:51.905529,76.73,7.25,4.91,3290.03,16.63
1,2026-08-15 14:32:51.905529,76.15,8.7,4.84,3179.48,18.32
1,2026-08-15 14:33:51.905529,75.91,8.58,5.08,3350.65,17.6
1,2026-08-15 14:34:51.905529,75.83,8.15,4.59,3124.04,17.65
1,2026-08-15 14:35:51.905529,76.78,9.41,5.15,3142.6,17.39
1,2026-08-15 14:36:51.905529,78.31,9.5,4.56,3291.06,18.39
1,2026-08-15 14:37:51.905529,75.14,9.5,4.56,3193.45,18.72
1,2026-08-15 14:38:51.905529,77.66,9.5,4.13,3175.02,19.58
1,2026-08-15 14:39:51.905529,78.22,9.4,5.44,3380.95,19.94
1,2026-08-15 14:40:51.905529,76.02,9.5,5.26,3345.5,19.83
1,2026-08-15 14:41:51.905529,79.71,9.5,5.42,3166.18,17.88
1,2026-08-15 14:42:51.905529,78.95,9.5,5.54,3282.16,19.2
1,2026-08-15 14:43:51.905529,79.94,9.5,5.46,3130.21,18.8
1,2026-08-15 14:44:51.905529,79.6,9.5,4.91,3124.6,19.24
1,2026-08-15 14:45:51.905529,78.67,9.5,4.7,3146.92,17.82
1,2026-08-15 14:46:51.905529,77.68,9.5,4.68,3217.02,21.0
1,2026-08-15 14:47:51.905529,78.2,9.5,4.64,3027.35,20.17
1,2026-08-15 14:48:51.905529,77.88,9.5,4.89,3333.46,19.55
1,2026-08-15 14:49:51.905529,80.9,9.5,5.4,3193.86,20.64
1,2026-08-15 14:50:51.905529,79.26,9.5,5.73,3000.0,19.76
1,2026-08-15 14:51:51.905529,79.47,9.5,4.61,3017.55,19.23
1,2026-08-15 14:52:51.905529,80.31,9.5,5.14,3069.59,19.55
1,2026-08-15 14:53:51.905529,80.77,9.5,4.64,3267.68,20.75
1,2026-08-15 14:54:51.905529,81.45,9.5,5.36,3157.94,20.21
1,2026-08-15 14:55:51.905529,82.57,9.5,5.43,3167.3,21.0
1,2026-08-15 14:56:51.905529,84.09,9.5,4.79,3224.77,21.0
1,2026-08-15 14:57:51.905529,79.54,9.5,5.22,3074.34,20.21
1,2026-08-15 14:58:51.905529,80.78,9.5,5.54,3172.78,21.0
1,2026-08-15 14:59:51.905529,83.11,9.5,5.0,3102.6,21.0
1,2026-08-15 15:00:51.905529,80.51,9.5,4.25,3136.07,19.58
1,2026-08-15 15:01:51.905529,82.51,9.5,5.21,3019.27,19.68
1,2026-08-15 15:02:51.905529,81.31,9.5,5.15,3155.76,20.44
1,2026-08-15 15:03:51.905529,83.12,9.5,5.14,3108.14,20.31
1,2026-08-15 15:04:51.905529,81.22,9.5,5.98,3014.14,21.0
1,2026-08-15 15:05:51.905529,83.32,9.5,4.71,3178.05,21.0
1,2026-08-15 15:06:51.905529,84.28,9.5,4.47,3000.0,21.0
1,2026-08-15 15:07:51.905529,81.39,9.5,5.03,3024.71,21.0
1,2026-08-15 15:08:51.905529,83.39,9.5,5.22,3097.37,21.0
1,2026-08-15 15:09:51.905529,83.17,9.5,5.89,3010.28,21.0
1,2026-08-15 15:10:51.905529,82.64,9.5,5.23,3000.0,21.0
1,2026-08-15 15:11:51.905529,86.28,9.5,5.18,3000.0,21.0
1,2026-08-15 15:12:51.905529,85.1,9.5,5.93,3136.53,21.0
1,2026-08-15 15:13:51.905529,85.86,9.5,5.07,3154.63,21.0
1,2026-08-15 15:14:51.905529,84.79,9.5,4.52,3000.0,21.0
1,2026-08-15 15:15:51.905529,86.15,9.5,4.52,3074.29,21.0
1,2026-08-15 15:16:51.905529,84.97,9.5,5.49,3147.45,21.0
1,2026-08-15 15:17:51.905529,83.85,9.5,6.03,3135.92,21.0
1,2026-08-15 15:18:51.905529,85.4,9.5,4.82,3076.9,21.0
1,2026-08-15 15:19:51.905529,84.92,9.5,5.89,3157.93,21.0
1,2026-08-15 15:20:51.905529,83.98,9.5,5.17,3000.0,21.0
1,2026-08-15 15:21:51.905529,86.86,9.5,5.2,3137.71,21.0
1,2026-08-15 15:22:51.905529,86.91,9.5,4.84,3156.16,21.0
1,2026-08-15 15:23:51.905529,85.31,9.5,4.84,3000.0,21.0
1,2026-08-15 15:24:51.905529,86.22,9.5,5.78,3000.0,21.0
1,2026-08-15 15:25:51.905529,86.74,9.5,5.06,3066.11,21.0
1,2026-08-15 15:26:51.905529,87.31,9.5,5.57,3174.93,21.0
1,2026-08-15 15:27:51.905529,85.42,9.5,4.55,3073.05,21.0
1,2026-08-15 15:28:51.905529,88.04,9.5,5.54,3049.06,21.0
1,2026-08-15 15:29:51.905529,87.8,9.5,4.93,3000.0,21.0
1,2026-08-15 15:30:51.905529,86.29,9.5,5.35,3000.0,21.0
1,2026-08-15 15:31:51.905529,85.34,9.5,5.34,3000.0,21.0
1,2026-08-15 15:32:51.905529,88.89,9.5,5.4,3000.0,21.0
1,2026-08-15 15:33:51.905529,87.77,9.5,5.75,3000.0,21.0
1,2026-08-15 15:34:51.905529,88.54,9.5,5.17,3000.0,21.0
1,2026-08-15 15:35:51.905529,87.95,9.5,4.97,3073.33,21.0
1,2026-08-15 15:36:51.905529,90.24,9.5,5.28,3000.0,21.0
1,2026-08-15 15:37:51.905529,87.09,9.5,4.72,3000.0,21.0
1,2026-08-15 15:38:51.905529,88.48,9.5,5.25,3000.0,21.0
1,2026-08-15 15:39:51.905529,88.68,9.5,6.06,3000.0,21.0
1,2026-08-15 15:40:51.905529,89.05,9.5,5.43,3000.0,21.0
1,2026-08-15 15:41:51.905529,89.04,9.5,5.15,3080.07,21.0
1,2026-08-15 15:42:51.905529,88.11,9.5,5.56,3000.0,21.0
1,2026-08-15 15:43:51.905529,89.69,9.5,5.63,3000.0,21.0
1,2026-08-15 15:44:51.905529,90.3,9.5,5.53,3000.0,21.0
1,2026-08-15 15:45:51.905529,88.78,9.5,5.25,3000.0,21.0
1,2026-08-15 15:46:51.905529,89.68,9.5,4.9,3000.0,21.0
1,2026-08-15 15:47:51.905529,88.24,9.5,3.83,3000.0,21.0
1,2026-08-15 15:48:51.905529,90.9,9.5,4.89,3000.0,21.0
1,2026-08-15 15:49:51.905529,92.1,9.5,4.98,3000.0,21.0
1,2026-08-15 15:50:51.905529,91.59,9.5,5.19,3000.0,21.0
1,2026-08-15 15:51:51.905529,92.89,9.5,5.7,3000.0,21.0
1,2026-08-15 15:52:51.905529,89.0,9.5,4.29,3000.0,21.0
1,2026-08-15 15:53:51.905529,90.03,9.5,4.91,3000.0,21.0
1,2026-08-15 15:54:51.905529,92.36,9.5,4.81,3000.0,21.0
1,2026-08-15 15:55:51.905529,90.91,9.5,5.13,3000.0,21.0
1,2026-08-15 15:56:51.905529,90.12,9.5,5.46,3000.0,21.0
1,2026-08-15 15:57:51.905529,91.61,9.5,5.22,3000.0,21.0
1,2026-08-15 15:58:51.905529,91.65,9.5,4.64,3000.0,21.0
1,2026-08-15 15:59:51.905529,92.83,9.5,5.24,3000.0,21.0
1,2026-08-15 16:00:51.905529,92.2,9.5,4.29,3000.0,21.0
1,2026-08-15 16:01:51.905529,94.47,9.5,4.81,3000.0,21.0
1,2026-08-15 16:02:51.905529,92.8,9.5,5.5,3000.0,21.0
1,2026-08-15 16:03:51.905529,92.22,9.5,5.98,3088.18,21.0
1,2026-08-15 16:04:51.905529,93.77,9.5,4.62,3000.0,21.0
1,2026-08-15 16:05:51.905529,93.46,9.5,4.67,3000.0,21.0
1,2026-08-15 16:06:51.905529,90.08,9.5,5.4,3000.0,21.0
1,2026-08-15 16:07:51.905529,91.22,9.5,5.17,3000.0,21.0
1,2026-08-15 16:08:51.905529,94.72,9.5,5.35,3000.0,21.0
1,2026-08-15 16:09:51.905529,93.76,9.5,5.61,3000.0,21.0
1,2026-08-15 16:10:51.905529,95.0,9.5,5.78,3000.0,21.0
1,2026-08-15 16:11:51.905529,95.0,9.5,4.82,3000.0,21.0
1,2026-08-15 16:12:51.905529,95.0,9.5,4.65,3000.0,21.0
1,2026-08-15 16:13:51.905529,95.0,9.5,4.97,3000.0,21.0
1,2026-08-15 16:14:51.905529,95.0,9.5,4.91,3000.0,21.0
1,2026-08-15 16:15:51.905529,95.0,9.5,5.27,3000.0,21.0
1,2026-08-15 16:16:51.905529,94.53,9.5,6.36,3000.0,21.0
1,2026-08-15 16:17:51.905529,95.0,9.5,5.14,3000.0,21.0
1,2026-08-15 16:18:51.905529,95.0,9.5,5.16,3000.0,21.0
1,2026-08-15 16:19:51.905529,95.0,9.5,4.38,3000.0,21.0
1,2026-08-15 16:20:51.905529,95.0,9.5,5.42,3000.0,21.0
1,2026-08-15 16:21:51.905529,95.0,9.5,4.62,3000.0,21.0
1,2026-08-15 16:22:51.905529,95.0,9.5,5.33,3000.0,21.0
1,2026-08-15 16:23:51.905529,95.0,9.5,4.7,3000.0,21.0
1,2026-08-15 16:24:51.905529,95.0,9.5,5.03,3000.0,21.0
1,2026-08-15 16:25:51.905529,95.0,9.5,5.66,3000.0,21.0
1,2026-08-15 16:26:51.905529,95.0,9.5,5.43,3000.0,21.0
1,2026-08-15 16:27:51.905529,95.0,9.5,5.38,3000.0,21.0
1,2026-08-15 16:28:51.905529,95.0,9.5,5.93,3000.0,21.0
1,2026-08-15 16:29:51.905529,95.0,9.5,5.19,3000.0,21.0
1,2026-08-15 16:30:51.905529,95.0,9.5,5.87,3000.0,21.0
1,2026-08-15 16:31:51.905529,95.0,9.5,4.94,3000.0,21.0
1,2026-08-15 16:32:51.905529,95.0,9.5,4.68,3000.0,21.0
1,2026-08-15 16:33:51.905529,95.0,9.5,5.86,3000.0,21.0
1,2026-08-15 16:34:51.905529,95.0,9.5,5.19,3000.0,21.0
1,2026-08-15 16:35:51.905529,95.0,9.5,4.19,3000.0,21.0
1,2026-08-15 16:36:51.905529,95.0,9.5,5.05,3000.0,21.0
1,2026-08-15 16:37:51.905529,95.0,9.5,5.33,3000.0,21.0
1,2026-08-15 16:38:51.905529,95.0,9.5,5.32,3000.0,21.0
1,2026-08-15 16:39:51.905529,95.0,9.5,4.5,3000.0,21.0
1,2026-08-15 16:40:51.905529,95.0,9.5,4.87,3000.0,21.0
1,2026-08-15 16:41:51.905529,95.0,9.5,4.78,3000.0,21.0
1,2026-08-15 16:42:51.905529,95.0,9.5,5.74,3000.0,21.0
1,2026-08-15 16:43:51.905529,95.0,9.5,4.85,3000.0,21.0
1,2026-08-15 16:44:51.905529,95.0,9.5,4.83,3000.0,21.0
1,2026-08-15 16:45:51.905529,95.0,9.5,5.34,3000.0,21.0
1,2026-08-15 16:46:51.905529,95.0,9.5,5.03,3000.0,21.0
1,2026-08-15 16:47:51.905529,95.0,9.5,4.53,3000.0,21.0
1,2026-08-15 16:48:51.905529,95.0,9.5,5.35,3000.0,21.0
1,2026-08-15 16:49:51.905529,95.0,9.5,5.66,3000.0,21.0
1,2026-08-15 16:50:51.905529,95.0,9.5,5.7,3000.0,21.0
1,2026-08-15 16:51:51.905529,95.0,9.5,4.82,3000.0,21.0
1,2026-08-15 16:52:51.905529,95.0,9.5,5.69,3000.0,21.0
1,2026-08-15 16:53:51.905529,95.0,9.5,4.94,3000.0,21.0
1,2026-08-15 16:54:51.905529,95.0,9.5,4.49,3000.0,21.0
1,2026-08-15 16:55:51.905529,95.0,9.5,4.47,3000.0,21.0
1,2026-08-15 16:56:51.905529,95.0,9.5,4.77,3000.0,21.0
1,2026-08-15 16:57:51.905529,95.0,9.5,5.46,3000.0,21.0
1,2026-08-15 16:58:51.905529,95.0,9.5,4.59,3000.0,21.0
1,2026-08-15 16:59:51.905529,95.0,9.5,5.4,3000.0,21.0
1,2026-08-15 17:00:51.905529,95.0,9.5,5.18,3000.0,21.0
1,2026-08-15 17:01:51.905529,95.0,9.5,5.56,3000.0,21.0
1,2026-08-15 17:02:51.905529,95.0,9.5,5.13,3000.0,21.0
1,2026-08-15 17:03:51.905529,95.0,9.5,4.76,3000.0,21.0
1,2026-08-15 17:04:51.905529,95.0,9.5,5.27,3000.0,21.0
1,2026-08-15 17:05:51.905529,95.0,9.5,5.0,3000.0,21.0
1,2026-08-15 17:06:51.905529,95.0,9.5,5.22,3000.0,21.0
